file,acronym,issue,sent_idx,sentence,guessed_expansion
1995 - gemini.txt,BEIMP,undefined_in_document,983,The communication interface between the IOCs and Unix workstations is to beIMP.,
1995 - gemini.txt,GETID,undefined_in_document,1244,GetID The subsystem reports its unique identification tag.,
1999 - multi-mahjong.txt,DFDS,undefined_in_document,24,3.1 Data Flow Diagrams (DFDs) The following diagrams show the flow of data between the entities of the MultiMahjong system: Figure 3.1.1 - Level 0 DFD of the MultiMahjong System Figure 3.1.2 - Level 1 DFD of the MultiMahjong System Note that these diagrams only describe the top level processes and the data that flows between them.,Data Flow Diagrams
1999 - tcs.txt,DOD,first_use_before_definition,52,"To the extent possible, the TCS will use standard Department of Defense (DoD) software components to achieve commonality.",
1999 - tcs.txt,HCIS,undefined_in_document,704,"The TCS shall facilitate Human-Computer Interfaces (HCIs) that support operation of all system modes, functions, and capabilities.",
1999 - tcs.txt,KPP,undefined_in_document,1879,(objective) (KPP)* CRS0058 Available minimum payload weight capacity shall be not less Threshold .,
1999 - tcs.txt,BELOW,undefined_in_document,1896,"requirements listed below...Provide a line of site data link capability from the controlling GCS to AV (and vice versa) without relay from other AVs, satellites, or surface relay.",
1999 - tcs.txt,MCEB,undefined_in_document,2144,"receive hertzian waves, spectrum supportability within the United States and with all host nations where the system will deploy shall be determined for the life of the system through the...(MCEB) CRS0143 The Close Range - TUAV shall comply with applicable national Threshold .",
1999 - tcs.txt,IETMS,undefined_in_document,2174,CRS0152 The use of Interactive Electronic Technical Manuals (IETMs) will Threshold .,Interactive Electronic Technical Manuals
1999 - tcs.txt,TMS,undefined_in_document,2190,CRS0157 Technical Manuals (TMs).,
1999 - tcs.txt,USIGS,undefined_in_document,2230,Imagery and Geospatial System ((USIGS)) compatible) to the U.S.,
2001 - beyond.txt,NATLAB,undefined_in_document,2,Requests for publications can be send to: al_publicrequest@natlab.research.philips.com.,
