acronym,expansion,file,sent_idx,sentence
MMP,E-G OVERNANCE M M P,0000 - cctns.txt,0,E-G OVERNANCE M M P (MMP) ISSION ODE ROJECT C & C T RIME RIMINAL RACKING N S ETWORK AND YSTEMS (CCTNS) F R UNCTIONAL EQUIREMENTS S V1.0 PECIFICATION ( ) DRAFT M H A INISTRY OF OME FFAIRS G I OVERNMENT OF NDIA E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems TABLE OF CONTENTS S.
CCTNS,ISSION ODE ROJECT C & C T RIME RIMINAL RACKING N S ETWORK AND YSTEMS,0000 - cctns.txt,0,E-G OVERNANCE M M P (MMP) ISSION ODE ROJECT C & C T RIME RIMINAL RACKING N S ETWORK AND YSTEMS (CCTNS) F R UNCTIONAL EQUIREMENTS S V1.0 PECIFICATION ( ) DRAFT M H A INISTRY OF OME FFAIRS G I OVERNMENT OF NDIA E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems TABLE OF CONTENTS S.
YSTEMS,CCTNS,0000 - cctns.txt,0,E-G OVERNANCE M M P (MMP) ISSION ODE ROJECT C & C T RIME RIMINAL RACKING N S ETWORK AND YSTEMS (CCTNS) F R UNCTIONAL EQUIREMENTS S V1.0 PECIFICATION ( ) DRAFT M H A INISTRY OF OME FFAIRS G I OVERNMENT OF NDIA E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems TABLE OF CONTENTS S.
FRS,INTRODUCTION The Functional Requirements Specifications,0000 - cctns.txt,8,INTRODUCTION The Functional Requirements Specifications (FRS) report provides the detailed description of the functionalities required for the first version of the CCTNS.
SOA,connected on low-bandwidth The system should be implemented using Service Oriented Architecture,0000 - cctns.txt,292,"3) The system should work even in an offline mode with the critical functionality The system should be designed to have satisfactory performance even in Police Stations 4) connected on low-bandwidth The system should be implemented using Service Oriented Architecture (SOA) and have a 5) modular design 6) The system should be developed on Open Standards The system should be built on a common User Access and Authentication Service to 7) ensure Single-Sign on for the end-user 8) The system should be developed for a centralized deployment and maintenance 9) The system should be developed to be deployed in a 3-tier datacenter architecture The system should be designed to have a n-tier architecture with the presentation logic 10) separated from the business logic that is again separated from the data-access logic The system should be extensible to provide access to the interfaces through PDA’s and 11) mobile data terminals 12) The system should adopt standardized formats and common metadata elements The system should be designed for access through browser-based systems and must 13) impose minimal requirements on the client device 14) The system must support multiple types of communication services for remote access The system should have capability to support public access to a subset of data and 15) functionality 16) The system should support multi-tier authentication where required Ministry of Home Affairs Draft Core Scope Document Page 17 of 19 E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 17) The system should support SSL encrypted connections 18) The system should support secure virtual private network connections The system should use HTTPS as the communication protocol, i.e., HTTP over an 19) encrypted secure socket layer (SSL) 20) The system should run on multiple browsers 21) The system should support selective encryption of the stored data The system should ensure secure transmission of data over the network and utilize SSL 22) and 2-way digital signatures The system should ensure high standards of security and access control through: a) Prevent cross-site scripting b) Validate the incoming data / user request c) Encode the incoming data / user request 23) d) Prevent SQL Injection e) Utilize parameterized queries f) Sanitize the user-inputs g) Validate the data both at the client and server h) Do not allow hard delete and perform only soft tagging the row for deletion The system should ensure high scalability and performance through: a) Use of cache for storing frequent data b) Use of AJAX based technology to improve user experience."
SSL,encrypted secure socket layer,0000 - cctns.txt,292,"3) The system should work even in an offline mode with the critical functionality The system should be designed to have satisfactory performance even in Police Stations 4) connected on low-bandwidth The system should be implemented using Service Oriented Architecture (SOA) and have a 5) modular design 6) The system should be developed on Open Standards The system should be built on a common User Access and Authentication Service to 7) ensure Single-Sign on for the end-user 8) The system should be developed for a centralized deployment and maintenance 9) The system should be developed to be deployed in a 3-tier datacenter architecture The system should be designed to have a n-tier architecture with the presentation logic 10) separated from the business logic that is again separated from the data-access logic The system should be extensible to provide access to the interfaces through PDA’s and 11) mobile data terminals 12) The system should adopt standardized formats and common metadata elements The system should be designed for access through browser-based systems and must 13) impose minimal requirements on the client device 14) The system must support multiple types of communication services for remote access The system should have capability to support public access to a subset of data and 15) functionality 16) The system should support multi-tier authentication where required Ministry of Home Affairs Draft Core Scope Document Page 17 of 19 E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 17) The system should support SSL encrypted connections 18) The system should support secure virtual private network connections The system should use HTTPS as the communication protocol, i.e., HTTP over an 19) encrypted secure socket layer (SSL) 20) The system should run on multiple browsers 21) The system should support selective encryption of the stored data The system should ensure secure transmission of data over the network and utilize SSL 22) and 2-way digital signatures The system should ensure high standards of security and access control through: a) Prevent cross-site scripting b) Validate the incoming data / user request c) Encode the incoming data / user request 23) d) Prevent SQL Injection e) Utilize parameterized queries f) Sanitize the user-inputs g) Validate the data both at the client and server h) Do not allow hard delete and perform only soft tagging the row for deletion The system should ensure high scalability and performance through: a) Use of cache for storing frequent data b) Use of AJAX based technology to improve user experience."
SRS,Software Requirements Specification,0000 - gamma j.txt,0,Software Requirements Specification (SRS) Group Name GAMMA-J Group Project Subtitle GAMMA-J Web Store Team Members: Ashwini Chavate Minesh Dhyani Glenn Hollander Avishek Shrestha Jose Tellez Marc Weber 1 Table of Contents 1.
SSL,Use Secure Socket Layer,0000 - gamma j.txt,73,1.4 Project Scope According to GAMMA-J’s Functional Needs Statement this Web Store will: • Manage customer accounts • Manage an online store inventory • Manage a customer’s “Shopping Cart” • Confirm Orders • Have an unambiguous interface to assist in browsing the categories and products • Use Secure Socket Layer (SSL) for security • Have an availability of 99.999% • Allow an optional mirror site for reliability and backups • Feature interface for future software enhancement via “Plug-ins” The initial inventory will be 100 items.
AM,Product Features Account Management,0000 - gamma j.txt,86,"2.2 Product Features Account Management (AM) (High Priority): AM allows users to create, edit, and view accounts information."
SE,Search Engine,0000 - gamma j.txt,88,Search Engine (SE) (Medium Priority): SE is the tool that assists the user in finding a specific item in the database.
PM,Product Management,0000 - gamma j.txt,90,Product Management (PM) (High Priority): PM allows sales personnel to manage the product line shown on the web site.
SC,GAMMA-J Web Store Shopping Cart,0000 - gamma j.txt,91,5 GAMMA-J Web Store Shopping Cart (SC) (Medium Priority): SC is temporary storage for customers shopping on the web.
PP,Purchasing and Payment,0000 - gamma j.txt,93,Purchasing and Payment (PP) (High Priority): PP is used to approve and transfer payment from buyers when purchasing items in the cart.
COCOMO,Cost Estimation,0000 - inventory.txt,38,Cost Estimation (COCOMO) .............................................................29 10.
UUIS,Introduction This document presents the business requirement of Unified University Inventory System,0000 - inventory.txt,40,Introduction This document presents the business requirement of Unified University Inventory System (UUIS) in Technology-independent manner.
