file,smell,sentence
0000 - cctns.txt,Incompleteness,"Using the search functionality, police personnel can search for a particular person, type of crime, modus operandi, property etc."
0000 - cctns.txt,Vagueness,"It makes reporting easy for police by enabling them to execute different types of queries such as monthly reporting, RTI related etc."
0000 - cctns.txt,Incompleteness,"It makes reporting easy for police by enabling them to execute different types of queries such as monthly reporting, RTI related etc."
0000 - cctns.txt,Incompleteness,"It shows information such as cases assigned, alerts, pending tasks etc hence helping police personnel to plan better and execute with greater efficiency."
0000 - cctns.txt,Incompleteness,"With a proper configuration, information such as act and sections, state specific data, castes, tribes, property information etc."
0000 - cctns.txt,Incompleteness,"The System must maintain the audit trail for as long as required, which will be at 3. least for the life of the case to which it refers."
0000 - cctns.txt,Ambiguity,The System should be able to provide reports for actions on cases organised by 8. workstation and (where technically appropriate) by network address.
0000 - cctns.txt,Ambiguity,"The requirements specify the requirements to control the user access to correspondences, files, and records and various functionalities provided within the system."
0000 - cctns.txt,Ambiguity,the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.
0000 - cctns.txt,Vagueness,"If a user performs a quick or advanced search, the System must never include in 8. the search result list any record which the user does not have the right to access."
0000 - cctns.txt,Ambiguity,"The System user interface must be suitable for users with special needs; that is, 5. compatible with specialist software that may be used and with appropriate interface guidelines The System must provide End User and Administrator functions which are easy to 6. use and intuitive throughout."
0000 - cctns.txt,Vagueness,"The System user interface must be suitable for users with special needs; that is, 5. compatible with specialist software that may be used and with appropriate interface guidelines The System must provide End User and Administrator functions which are easy to 6. use and intuitive throughout."
0000 - cctns.txt,Vagueness,The user interfaces should be designed to make them user-intuitive.
0000 - cctns.txt,Ambiguity,Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is 6. in the navigation structure and of the current segment position with respect to the overall structure.
0000 - cctns.txt,Vagueness,Making user interfaces robust: User interfaces should be designed to be as robust 13. as possible in the face of changing technology.
0000 - cctns.txt,Ambiguity,"Using appropriate formats, units of measurement or currency: When designing user interfaces for use by diverse groups, input and output of information 17. elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable."
0000 - cctns.txt,Ambiguity,"Making text resizable by the user: Text should be able to be resized by the user, 18. using functions provided by the user agent or other appropriate means i.e."
0000 - cctns.txt,Ambiguity,Text quality: The quality of textual content with respect to spelling and grammar 19. should be sufficient so as not to impede readability.
0000 - cctns.txt,Vagueness,"Supporting text skimming: Fast skimming of text should be supported by the 21. provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences."
0000 - cctns.txt,Ambiguity,"Using descriptive link labels: The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels 26. have commonly understood semantics in the particular application domain."
