file,sent_idx,term,sentence,suggestion
0000 - cctns.txt,25,easy,"It makes reporting easy for police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.","Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - cctns.txt,107,easy,compatible with specialist software that may be used and with appropriate interface guidelines The System must provide End User and Administrator functions which are easy to 6.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - cctns.txt,108,intuitive,use and intuitive throughout.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
0000 - cctns.txt,118,intuitive,The user interfaces should be designed to make them user-intuitive.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
0000 - cctns.txt,156,robust,Making user interfaces robust: User interfaces should be designed to be as robust 13.,"Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
0000 - cctns.txt,177,fast,Supporting text skimming: Fast skimming of text should be supported by the 21.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
0000 - cctns.txt,191,easy,Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - cctns.txt,234,easy,link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - cctns.txt,242,efficient,Individualization and user adaptation : Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
0000 - cctns.txt,270,simple,functions under both standard and peak conditions The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the 2.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
0000 - cctns.txt,292,secure,"3) The system should work even in an offline mode with the critical functionality The system should be designed to have satisfactory performance even in Police Stations 4) connected on low-bandwidth The system should be implemented using Service Oriented Architecture (SOA) and have a 5) modular design 6) The system should be developed on Open Standards The system should be built on a common User Access and Authentication Service to 7) ensure Single-Sign on for the end-user 8) The system should be developed for a centralized deployment and maintenance 9) The system should be developed to be deployed in a 3-tier datacenter architecture The system should be designed to have a n-tier architecture with the presentation logic 10) separated from the business logic that is again separated from the data-access logic The system should be extensible to provide access to the interfaces through PDA’s and 11) mobile data terminals 12) The system should adopt standardized formats and common metadata elements The system should be designed for access through browser-based systems and must 13) impose minimal requirements on the client device 14) The system must support multiple types of communication services for remote access The system should have capability to support public access to a subset of data and 15) functionality 16) The system should support multi-tier authentication where required Ministry of Home Affairs Draft Core Scope Document Page 17 of 19 E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 17) The system should support SSL encrypted connections 18) The system should support secure virtual private network connections The system should use HTTPS as the communication protocol, i.e., HTTP over an 19) encrypted secure socket layer (SSL) 20) The system should run on multiple browsers 21) The system should support selective encryption of the stored data The system should ensure secure transmission of data over the network and utilize SSL 22) and 2-way digital signatures The system should ensure high standards of security and access control through: a) Prevent cross-site scripting b) Validate the incoming data / user request c) Encode the incoming data / user request 23) d) Prevent SQL Injection e) Utilize parameterized queries f) Sanitize the user-inputs g) Validate the data both at the client and server h) Do not allow hard delete and perform only soft tagging the row for deletion The system should ensure high scalability and performance through: a) Use of cache for storing frequent data b) Use of AJAX based technology to improve user experience.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
0000 - gamma j.txt,63,easy,This Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,73,secure,1.4 Project Scope According to GAMMA-J’s Functional Needs Statement this Web Store will: • Manage customer accounts • Manage an online store inventory • Manage a customer’s “Shopping Cart” • Confirm Orders • Have an unambiguous interface to assist in browsing the categories and products • Use Secure Socket Layer (SSL) for security • Have an availability of 99.999% • Allow an optional mirror site for reliability and backups • Feature interface for future software enhancement via “Plug-ins” The initial inventory will be 100 items.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
0000 - gamma j.txt,84,easy,The Web Store will be a quick and easy means to setup and operate an online Web Store.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,112,easy,Restricting to SQL allows easy of use and compatibility for Web Store.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,141,intuitive,The interface must remain consistent among various web browsers and be intuitive to the customer.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
0000 - gamma j.txt,181,easy,"5.6 Usability Requirements 21 GAMMA-J Web Store • The system shall be easy to use • The system shall be easy to learn • The system shall utilize help bubbles to assist managers, customers, and administrators • The system shall employ easy to locate buttons • The system shall prompt customer with friend easy to read error messages.","Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,186,easy,• The system shall be easy to upgrade.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,188,easy,• The system shall be easy to migrate or backed up via another usb drive.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
0000 - gamma j.txt,198,fast,"SDRAM actually synchronizes itself with the CPU's bus and is capable of running at 133 MHz, about three times faster than conventional FPM RAM, and about twice as fast EDO DRAM and BEDO DRAM.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
0000 - gamma j.txt,211,simple,"Documentation Writers: Writers are able to take technical complexities and turn them into simple, understandable text.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
0000 - gamma j.txt,231,secure,Secure Socket Layer: A protocol developed for the browsers for transmitting private documents via the internet.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
0000 - inventory.txt,46,secure,The IUFA guarantee a secure access to the data from outside university at any time during working hours 3.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
0000 - inventory.txt,79,simple,search:simple 5.2.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
0000 - inventory.txt,133,easy,Web interface should use clear and consistence terminology in such a way that user; with basic experience on internet and office; find the application easy to use 6.2.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
1995 - gemini.txt,60,easy,"All software will be maintained under a version control system, and must include facilities for easy (nearly automatic) inclusion into the Gemini software environment.","Specify what 'easy' means (install, learn, use) with measurable criteria."
1995 - gemini.txt,95,simple,"This mode provides simple and safe access to the system for the collec- tion of science data, selection of instrument parameters, and quick-look data reduc- tion.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,155,simple,"TABLE 2 - 2 User-level requirements User Class Operation Level Access Mode User Interface Astronomer Observing Planning, observing, moni- Simple, safe, controls toring grouped for convenience of observation activity.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,160,simple,"Administrator Observing, mainte- Monitoring, administrative Simple, safe, status nance, test inquiries only.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,167,efficient,"•Purpose of work Whatever their level of experience, observing astronomers will wish to concentrate on the efficient acquisition of astronomical data and on-line assessment of data qual- ity, rather than on the details of controlling the telescope and instruments.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,168,simple,"To allow observing astronomers to achieve this objective, the system must offer to a user an interface which, while fulfilling the various operational requirements in the different modes and offering status information both automatically and on request at any required level, is still simple to learn and secure in its use.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,168,secure,"To allow observing astronomers to achieve this objective, the system must offer to a user an interface which, while fulfilling the various operational requirements in the different modes and offering status information both automatically and on request at any required level, is still simple to learn and secure in its use.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1995 - gemini.txt,230,simple,In particular coordinated motions of the Gemini system compo- nents with those of the visitor instrument (other than simple raster scans) will not be supported.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
